respondent,mainbranch,age,country,edlevel,employment,yearscodepro,languageworkedwith,databaseworkedwith,platformworkedwith
13725,I am a developer by profession,30.0,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP,,MacOS;Windows;WordPress
13729,"I am not primarily a developer, but I write code sometimes as part of my work",34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,Bash/Shell/PowerShell;JavaScript;SQL,Other(s):,Windows
13732,I am a developer by profession,33.0,United States,Some college/university study without earning a degree,Employed full-time,14,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;Python;SQL,Cassandra;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,Android;AWS;Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack;Windows
13733,I am a developer by profession,30.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Java;JavaScript;Kotlin;Python;SQL;Other(s):,MySQL;SQLite,Android;Linux;Windows;WordPress
13734,I am a developer by profession,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,Microsoft SQL Server;MySQL,Android;Docker;Linux;Raspberry Pi;Slack;Windows
13743,I am a developer by profession,41.0,Colombia,Associate degree,Employed full-time,11,JavaScript;PHP;SQL,Firebase;MySQL,AWS;Docker;Heroku;Linux;Windows;WordPress
13747,"I am not primarily a developer, but I write code sometimes as part of my work",42.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL;VBA,Microsoft SQL Server;SQLite,Linux;Windows
13748,I am a developer by profession,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure;Windows
13750,I am a developer by profession,32.0,United Kingdom,Some college/university study without earning a degree,Employed full-time,10,Bash/Shell/PowerShell;Clojure;Go;Java;JavaScript;Kotlin,DynamoDB;MongoDB,AWS;Linux
13751,I am a developer by profession,29.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,Cassandra;Firebase;MongoDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Slack;Windows
13752,I am a developer by profession,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,HTML/CSS;JavaScript;Swift;Other(s):,SQLite,Heroku;iOS
13755,I am a developer by profession,34.0,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,11,C;C++;C#;HTML/CSS;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MySQL;SQLite,Android;Docker;Heroku;Linux;Raspberry Pi;Windows
13758,I am a developer by profession,27.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,Less than 1 year,Objective-C;R;Swift,,iOS
13759,I am a developer by profession,29.0,Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed part-time,8,Bash/Shell/PowerShell;C++;C#;Python;SQL,Microsoft SQL Server;PostgreSQL;SQLite,Linux;Windows
13760,I am a developer by profession,26.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,2,Bash/Shell/PowerShell;C;Go;HTML/CSS;Python,MongoDB;MySQL,AWS;Docker;Linux;Microsoft Azure;Windows
13762,I am a developer by profession,29.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,HTML/CSS;JavaScript;PHP;TypeScript,Elasticsearch;MongoDB;MySQL;Redis,Arduino;AWS;Docker;Google Cloud Platform;Linux;Raspberry Pi;Slack;Windows;WordPress
13763,I am a developer by profession,28.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Elasticsearch;MariaDB;MySQL,AWS;Docker;Linux;MacOS
13766,I am a developer by profession,40.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;C;C++,,Linux;Windows
13768,I am a developer by profession,19.0,Switzerland,Some college/university study without earning a degree,Employed part-time,3,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Cassandra;Elasticsearch;MariaDB;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Docker;Google Cloud Platform;Windows;WordPress
13771,I am a developer by profession,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,Less than 1 year,C#;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Couchbase;MariaDB;Oracle;PostgreSQL;Redis;SQLite,Android;Arduino;AWS;Docker;Heroku;Linux;MacOS;Raspberry Pi;Windows
13773,I am a developer by profession,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,HTML/CSS;JavaScript;PHP;SQL,MySQL,Windows;WordPress
13774,I am a developer by profession,28.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,3,Bash/Shell/PowerShell;Java;Kotlin;Scala,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Linux;Slack
13775,I am a developer by profession,26.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,HTML/CSS;JavaScript;Python,PostgreSQL;Redis,Linux;MacOS
13777,I am a developer by profession,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MongoDB;MySQL;Redis,AWS;Docker;Heroku
13779,I am a developer by profession,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,C#;HTML/CSS;SQL;TypeScript;VBA,Microsoft SQL Server;SQLite,
13782,I am a developer by profession,38.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,15,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python,DynamoDB;Microsoft SQL Server;PostgreSQL;Redis,AWS;Docker;Microsoft Azure;Slack
13784,I am a developer by profession,35.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,Assembly;C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL,PostgreSQL,Linux
13785,I am a developer by profession,29.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,HTML/CSS;Java;JavaScript;PHP;SQL,MongoDB;MySQL;SQLite,Android;Google Cloud Platform;Heroku;Linux;Microsoft Azure
13788,I am a developer by profession,33.0,Lithuania,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,15,HTML/CSS;Java;JavaScript;PHP;SQL,DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;SQLite,Android;Arduino;AWS;Docker;Google Cloud Platform;Linux;Raspberry Pi
13789,I am a developer by profession,25.0,United States,I never completed any formal education,Employed full-time,3,Objective-C;Swift,Firebase,iOS;MacOS;Slack
13791,I am a developer by profession,43.0,United States,Some college/university study without earning a degree,Employed full-time,20,SQL,Microsoft SQL Server,Windows
13792,"I am not primarily a developer, but I write code sometimes as part of my work",40.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,3,Bash/Shell/PowerShell;Python;SQL,Microsoft SQL Server,Linux;Microsoft Azure;Raspberry Pi;Windows
13796,I am a developer by profession,30.0,Iran,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,Java;Kotlin,MariaDB;SQLite,Android;Linux
13798,I am a developer by profession,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,C;C++;C#;HTML/CSS;JavaScript;Other(s):,MySQL;Oracle;PostgreSQL,Other(s):
13799,I am a developer by profession,23.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL,Linux;Raspberry Pi;Windows
13800,I am a developer by profession,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,HTML/CSS;Java;JavaScript;Python;Ruby;Scala;SQL;TypeScript,MySQL;PostgreSQL;Redis,AWS;MacOS;Slack;WordPress
13802,I am a developer by profession,43.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,20,HTML/CSS;Java;JavaScript;SQL;TypeScript;Other(s):,Microsoft SQL Server;PostgreSQL,AWS;Docker;Windows
13804,I am a developer by profession,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,C;C++;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;Microsoft SQL Server;Other(s):,Microsoft Azure
13806,I am a developer by profession,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,13,Clojure;HTML/CSS;Java;JavaScript;SQL,MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite;Other(s):,AWS;Docker;Linux;MacOS;Microsoft Azure;Slack;Windows
13814,I am a developer by profession,43.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,12,Bash/Shell/PowerShell;Java;JavaScript;PHP;SQL,MariaDB,Linux
13817,I am a developer by profession,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,C++;HTML/CSS;JavaScript;PHP,MySQL;PostgreSQL,Docker;Linux;Windows
13818,I am a developer by profession,42.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,15,Bash/Shell/PowerShell;C#;Java;Python;SQL,MySQL,AWS;Docker;Linux;MacOS
13819,I am a developer by profession,55.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,33,Bash/Shell/PowerShell;C;Objective-C;Python;SQL;Swift,MySQL,Docker;iOS;Kubernetes;Linux
13820,I am a developer by profession,23.0,United States,Associate degree,Employed full-time,2,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;SQLite,Android;iOS;Windows
13822,I am a developer by profession,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,HTML/CSS;Java;JavaScript;TypeScript,MongoDB;Redis,Android;Linux
13828,I am a developer by profession,21.0,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed part-time,1,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Firebase;MySQL;Oracle,Android;Arduino;Windows
13829,I am a developer by profession,28.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,Elixir;JavaScript;Python,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,AWS;Google Cloud Platform;Kubernetes;MacOS
13830,I am a developer by profession,30.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript;Other(s):,Microsoft SQL Server;MySQL,Android;Docker;Linux;Windows
13831,I am a developer by profession,26.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,3,C#,Microsoft SQL Server,Windows
13833,I am a developer by profession,26.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;C#;Python;SQL,Couchbase;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Linux;Windows
13834,I am a developer by profession,38.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,15,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;SQL,MySQL;PostgreSQL,AWS;Docker;Linux;Slack;Windows
13841,I am a developer by profession,33.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;C;Go;Java;Python;Rust;SQL,DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Redis,AWS;Docker;Linux
13842,I am a developer by profession,27.0,Switzerland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,HTML/CSS;Java;JavaScript;SQL,MariaDB;Microsoft SQL Server;MySQL,Linux;Windows
13846,I am a developer by profession,23.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed part-time,2,Java;JavaScript,MySQL;PostgreSQL,AWS;Docker;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack;Windows
13847,I am a developer by profession,,Pakistan,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,2,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Android;Arduino;Linux;MacOS;Windows;WordPress
13848,I am a developer by profession,32.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,C++;C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure;Windows;WordPress
13851,I am a developer by profession,34.0,Germany,,Employed full-time,9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Other(s):,AWS;Docker;Heroku;Linux;MacOS;Slack;Windows;WordPress
13852,I am a developer by profession,40.0,United States,Some college/university study without earning a degree,Employed full-time,14,Dart;Objective-C;Python;Rust;SQL,Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Linux;MacOS
13856,I am a developer by profession,28.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,C#,Microsoft SQL Server,Windows
13859,I am a developer by profession,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Python,PostgreSQL,Docker
13860,I am a developer by profession,25.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,Bash/Shell/PowerShell;C#;HTML/CSS;Java;SQL;TypeScript,Microsoft SQL Server;Other(s):,Docker;Linux;Microsoft Azure;Slack;Windows
13864,I am a developer by profession,37.0,United States,"Professional degree (JD, MD, etc.)",Employed full-time,2,HTML/CSS;JavaScript;SQL;Other(s):,Microsoft SQL Server;PostgreSQL,
13865,I am a developer by profession,36.0,Germany,Some college/university study without earning a degree,Employed full-time,12,HTML/CSS;JavaScript;PHP;SQL,MySQL;PostgreSQL;Redis;Other(s):,Docker;Linux;MacOS;Slack
13867,I am a developer by profession,27.0,Ukraine,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,HTML/CSS;JavaScript;PHP;SQL;VBA,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Windows
13868,I am a developer by profession,28.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,DynamoDB;Elasticsearch;MySQL;PostgreSQL,AWS;Docker;Linux;MacOS;Microsoft Azure
13870,I am a developer by profession,28.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MySQL;Redis,AWS;Docker;Kubernetes
13873,I am a developer by profession,26.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,C#;Java;Kotlin,SQLite,Android
13876,I am a developer by profession,27.0,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,MongoDB;Microsoft SQL Server,Windows
13877,I am a developer by profession,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,C#;JavaScript,Microsoft SQL Server;MySQL;PostgreSQL;Redis,AWS
13878,"I am not primarily a developer, but I write code sometimes as part of my work",28.0,Thailand,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,Bash/Shell/PowerShell;Java;Scala;SQL,Elasticsearch;MongoDB;PostgreSQL;Redis,AWS;Docker;Linux;Slack
13880,I am a developer by profession,27.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,MongoDB;MySQL;PostgreSQL;SQLite,Android;AWS;Heroku;Linux;Microsoft Azure;Windows
13881,I am a developer by profession,44.0,France,"Other doctoral degree (Ph.D, Ed.D., etc.)",Employed full-time,20,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript;WebAssembly,Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Other(s):,Linux;Windows
13885,I am a developer by profession,30.0,Brazil,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,10,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,PostgreSQL;Redis;SQLite,Android;AWS;Docker;IBM Cloud or Watson
13887,I am a developer by profession,29.0,Russian Federation,"Professional degree (JD, MD, etc.)",Employed full-time,8,Bash/Shell/PowerShell;C#;SQL,Microsoft SQL Server;SQLite,Linux;Microsoft Azure;Slack;Windows
13889,"I am not primarily a developer, but I write code sometimes as part of my work",29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;Python,Elasticsearch;MongoDB;MySQL,Docker;Kubernetes;Linux;MacOS
13892,"I am not primarily a developer, but I write code sometimes as part of my work",30.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,Bash/Shell/PowerShell;Python,PostgreSQL;SQLite,AWS;Docker;Linux
13893,"I am not primarily a developer, but I write code sometimes as part of my work",32.0,Czech Republic,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,12,Bash/Shell/PowerShell;C#;Dart;PHP;Swift,,Microsoft Azure
13894,I am a developer by profession,26.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,PHP;Rust;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL,Arduino;AWS;Docker;Kubernetes;Linux;MacOS
13897,I am a developer by profession,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Python,Microsoft SQL Server;MySQL;SQLite;Other(s):,Arduino;AWS;Docker;Linux;Slack;Windows
13898,I am a developer by profession,37.0,Greece,Some college/university study without earning a degree,Employed full-time,4,Bash/Shell/PowerShell;Python;SQL,Microsoft SQL Server;SQLite,Docker;Linux;Microsoft Azure;Slack;Windows
13900,I am a developer by profession,26.0,Myanmar,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,21,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,MySQL,Android;MacOS;Windows
13902,I am a developer by profession,34.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,C#;F#,Elasticsearch;MongoDB;Microsoft SQL Server;PostgreSQL;Redis,Microsoft Azure;Windows
13906,I am a developer by profession,38.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,15,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Objective-C;Python;Other(s):,MongoDB;Microsoft SQL Server;MySQL,Android;iOS;Other(s):
13911,I am a developer by profession,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;SQLite,Android;Arduino;Slack;Windows;WordPress
13914,I am a developer by profession,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,13,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA,DynamoDB;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,AWS;Docker;Windows
13915,I am a developer by profession,26.0,Colombia,"Professional degree (JD, MD, etc.)",Employed full-time,3,HTML/CSS;JavaScript,Firebase,Linux
13916,I am a developer by profession,22.0,Ireland,Some college/university study without earning a degree,Employed full-time,1,Assembly;Bash/Shell/PowerShell;C;C++;Python;SQL,MongoDB;MySQL;Oracle;PostgreSQL,AWS;Docker;Google Cloud Platform;Linux;MacOS;Windows
13920,I am a developer by profession,26.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,Less than 1 year,HTML/CSS;JavaScript;TypeScript,MongoDB,Linux;Windows
13922,I am a developer by profession,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,HTML/CSS;Java;JavaScript,Elasticsearch;MySQL;Oracle;Redis,Linux;Microsoft Azure;Windows
13924,I am a developer by profession,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;C;C++;Python;Rust,,Windows
13926,I am a developer by profession,25.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,Bash/Shell/PowerShell;C;C++;C#;Python,,Linux;Windows
13927,"I am not primarily a developer, but I write code sometimes as part of my work",,United Kingdom,"Other doctoral degree (Ph.D, Ed.D., etc.)",Employed full-time,6,Bash/Shell/PowerShell;C++;JavaScript;Python;SQL,Microsoft SQL Server,Linux;Windows
13933,I am a developer by profession,26.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,C++;HTML/CSS;JavaScript;PHP;Python,MariaDB;MySQL;SQLite,
13934,I am a developer by profession,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,Less than 1 year,Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Docker;Kubernetes;Linux
13935,I am a developer by profession,32.0,Poland,Some college/university study without earning a degree,Employed full-time,5,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,MySQL;PostgreSQL,Slack
13938,I am a developer by profession,30.0,Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,1,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL,Elasticsearch;MySQL;Redis,AWS;Docker;Slack
13939,I am a developer by profession,24.0,Bangladesh,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL,MySQL;PostgreSQL,Microsoft Azure;Windows
13940,"I am not primarily a developer, but I write code sometimes as part of my work",25.0,Poland,Some college/university study without earning a degree,Employed part-time,4,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python,MariaDB;MySQL;SQLite,Linux
13941,I am a developer by profession,27.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,3,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL,Elasticsearch;Firebase;MySQL;PostgreSQL;SQLite,Android;Arduino;Linux;Raspberry Pi
13942,I am a developer by profession,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Linux;MacOS;Windows
13945,I am a developer by profession,30.0,United States,Some college/university study without earning a degree,Employed full-time,3,HTML/CSS;JavaScript;PHP;SQL,MySQL,Linux;MacOS;Slack;WordPress
13947,I am a developer by profession,22.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed part-time,2,Bash/Shell/PowerShell;C;C#;HTML/CSS;Python;Ruby,PostgreSQL,Android;Docker;Linux;MacOS;Raspberry Pi;Slack;Windows
13948,I am a developer by profession,37.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,12,Bash/Shell/PowerShell;HTML/CSS;Java;Python;SQL;TypeScript,Couchbase;Microsoft SQL Server;PostgreSQL;Redis;SQLite,AWS;Docker;Kubernetes;Linux
13949,"I am not primarily a developer, but I write code sometimes as part of my work",35.0,New Zealand,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,11,C++;C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure;Windows
13950,I am a developer by profession,25.0,Colombia,Some college/university study without earning a degree,Employed part-time,5,Java;Kotlin,Firebase;SQLite,Android
13951,I am a developer by profession,33.0,United States,Some college/university study without earning a degree,Employed full-time,16,Bash/Shell/PowerShell;C;C#;Erlang;HTML/CSS;Java;JavaScript;Ruby;TypeScript;Other(s):,DynamoDB;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,AWS;Docker;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack;Windows;WordPress
13954,I am a developer by profession,36.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,12,C++;R;Swift,MariaDB;MongoDB,
13956,I am a developer by profession,31.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;MySQL,Microsoft Azure
13959,I am a developer by profession,26.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,9,C#;HTML/CSS;JavaScript;PHP;SQL,MongoDB;Microsoft SQL Server;MySQL,Docker;Slack;Windows
13961,I am a developer by profession,30.0,Czech Republic,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,6,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Python;SQL;VBA,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Android;Arduino;iOS;Linux;MacOS;Raspberry Pi;Windows
13963,I am a developer by profession,31.0,Malta,Some college/university study without earning a degree,Employed full-time,10,C#;Kotlin;PHP,Elasticsearch;MongoDB;MySQL;Redis;SQLite,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Raspberry Pi;Slack;Windows
13967,I am a developer by profession,30.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;MySQL,Google Cloud Platform;Windows
13969,I am a developer by profession,31.0,Indonesia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,11,JavaScript;PHP,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Docker;Linux
13975,I am a developer by profession,50.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,31,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;Redis,AWS;Docker;Heroku;Kubernetes;Linux
13976,I am a developer by profession,28.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;MySQL,AWS
13978,I am a developer by profession,26.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,HTML/CSS;JavaScript;PHP;SQL,MongoDB;MySQL;PostgreSQL,Android;Docker;Kubernetes;Windows;WordPress
